Demographic Property,Attribute,LRRK2 Carrier,Control,Total
,"Number of Participants, n (%)",122 (17.9%),559 (82.1%),681 (100%)
Sex,Female,71 (58.2%),311 (55.6%),382 (56.1%)
,Male,51 (41.8%),248 (44.4%),299 (43.9%)
"Age in years (range: 16.0 - 87.0, mean: 57.9), n (%)",< 20,0 (0.0%),5 (0.9%),5 (0.7%)
,20 - 39,35 (28.7%),47 (8.4%),82 (12.0%)
,40 - 59,38 (31.1%),137 (24.5%),175 (25.7%)
,60 - 79,49 (40.2%),309 (55.3%),358 (52.6%)
,>= 80,0 (0.0%),4 (0.7%),4 (0.6%)
,Not Mentioned,0 (0.0%),57 (10.2%),57 (8.4%)
"Race, n (%)",White,116 (95.1%),464 (83.0%),580 (85.2%)
,Asian,0 (0.0%),34 (6.1%),34 (5.0%)
,Black or African American,0 (0.0%),32 (5.7%),32 (4.7%)
,American Indian or Alaska Native,0 (0.0%),0 (0.0%),0 (0.0%)
,Others,0 (0.0%),9 (1.6%),9 (1.3%)
,Not Mentioned,6 (4.9%),20 (3.6%),26 (3.8%)
"Recording Environment, n (%)",Home-Global,0 (0.0%),400 (71.6%),400 (58.7%)
,PD Care Facility,0 (0.0%),20 (3.6%),20 (2.9%)
,Clinic,122 (100.0%),139 (24.9%),261 (38.3%)
